,Name,Linea,Lon,Lat,UTM
0,Acera de San Ildefonso 12,C1,-3.59996655694,37.184085365,"(446746.0377395807, 4115462.3932074616)"
1,Acera del Darro 35,C7,-3.5970229985900004,37.1693533116,"(446997.023981364, 4113826.3960966747)"
2,acera del darro 40-fuente de las batallas,SN4,-3.5988991433899997,37.1715883443,"(446832.02644782414, 4114075.3966626925)"
3,Acera del Darro 9-Centro Comercial,SN4,-3.5985364330800005,37.171301726399996,"(446864.02609886136, 4114043.3965024375)"
4,Acera del Darro 9-Centro Comercial,C7,-3.5985364330800005,37.171301726399996,"(446864.02609886136, 4114043.3965024375)"
5,Albondon 14,C6,-3.6188255004900003,37.1826634312,"(445071.04147714056, 4115315.4069797164)"
6,Albondon 4,C6,-3.61683704334,37.1847379889,"(445249.04277735227, 4115544.404882597)"
7,Alejandro Otero,C5,-3.6065011756700014,37.1643745759,"(446152.0221091262, 4113279.4044559244)"
8,Alhambra - Generalife 2,C3,-3.585088548189998,37.17441554,"(448060.0252809068, 4114381.3859787397)"
9,Alixares Generalife,C4,-3.5831287826300002,37.1729829464,"(448233.0234994814, 4114221.38507155)"
10,Aljibe de las Tomasas 23,C1,-3.59158336258,37.1810266521,"(447488.03282763244, 4115118.3883292805)"
11,Ancha de Capuchinos - Jardines del Triunfo,N7,-3.6011838776400014,37.1841603281,"(446638.03812775115, 4115471.394038741)"
12,Ancha de Capuchinos - Jardines del Triunfo,N8,-3.6011838776400014,37.1841603281,"(446638.03812775115, 4115471.394038741)"
13,Ancha de Capuchinos - Jardines del Triunfo,C2,-3.6011838776400014,37.1841603281,"(446638.03812775115, 4115471.394038741)"
14,Ancha de Capuchinos 15,N7,-3.60303605199,37.1861520319,"(446475.040372015, 4115693.3946755114)"
15,Ancha de Capuchinos 15,N8,-3.60303605199,37.1861520319,"(446475.040372015, 4115693.3946755114)"
16,Ancha de Capuchinos 15,C2,-3.60303605199,37.1861520319,"(446475.040372015, 4115693.3946755114)"
17,Andaluces,LAC,-3.60818179621,37.1857832308,"(446018.0414080821, 4115655.398427117)"
18,Andarax 100,N9,-3.5876730728099995,37.1881581261,"(447840.0380790012, 4115907.383175381)"
19,Andarax 22,N9,-3.589457326109999,37.1886901128,"(447682.03901883005, 4115967.3842475587)"
20,Andarax 35-Carmenes San Miguel,N9,-3.5864578462500014,37.1869021815,"(447947.0366507435, 4115767.382732617)"
21,Andarax Fte 35,N9,-3.58780735983,37.1880402789,"(447828.0380103232, 4115894.3833033554)"
22,Andres Segovia - Centro Civico Zaidin,NOCTURNA,-3.595638624999999,37.1579935902,"(447112.01360576745, 4112565.398954403)"
23,Andres Segovia - Centro Civico Zaidin,S3,-3.595638624999999,37.1579935902,"(447112.01360576745, 4112565.398954403)"
24,Andres Segovia - Centro Civico Zaidin,SN2,-3.595638624999999,37.1579935902,"(447112.01360576745, 4112565.398954403)"
25,Andres Segovia - Fontiveros,NOCTURNA,-3.59486091238,37.1607918398,"(447183.01586494484, 4112875.3974612034)"
26,Andres Segovia - Fontiveros,S3,-3.59486091238,37.1607918398,"(447183.01586494484, 4112875.3974612034)"
27,Andres Segovia - Fontiveros,SN2,-3.59486091238,37.1607918398,"(447183.01586494484, 4112875.3974612034)"
28,Andres Segovia 1,S2,-3.5941159563,37.1649059661,"(447252.0192925043, 4113331.39554773)"
29,Andres Segovia 1,S3,-3.5941159563,37.1649059661,"(447252.0192925043, 4113331.39554773)"
30,Andres Segovia 1,SN2,-3.5941159563,37.1649059661,"(447252.0192925043, 4113331.39554773)"
31,Andres Segovia 35,S2,-3.59440686631,37.1632188874,"(447225.0178830267, 4113144.3963246476)"
32,Andres Segovia 35,S3,-3.59440686631,37.1632188874,"(447225.0178830267, 4113144.3963246476)"
33,Andres Segovia 35,SN2,-3.59440686631,37.1632188874,"(447225.0178830267, 4113144.3963246476)"
34,Andujar,N5,-3.6190728811199997,37.2088567116,"(445068.0645997296, 4118221.3983526574)"
35,Arabial - Centro Comercial,C6,-3.6120588564599996,37.1775785913,"(445668.03520941315, 4114747.4039185685)"
36,Arabial 109,C6,-3.61364858672,37.180535981300004,"(445529.0382345024, 4115076.4040486314)"
37,Arabial 16,C5,-3.60570300068,37.1673893333,"(446225.0245522346, 4113613.4028816884)"
38,Arabial 18,C5,-3.6062287235800006,37.1683421332,"(446179.02553085575, 4113719.402924352)"
39,Arabial 4,C5,-3.6049380433,37.1660952183,"(446292.02321017097, 4113469.402775173)"
40,Arco de Elvira 4,C1,-3.5996743135400004,37.1827437584,"(446771.03648104623, 4115313.393459103)"
41,Auditorio Manuel de Falla - Carmen de los Martires,C3,-3.58940334013,37.1744753096,"(447677.02647609595, 4114390.389001359)"
42,Auditorio Manuel de Falla - Carmen de los Martires,C4,-3.58940334013,37.1744753096,"(447677.02647609595, 4114390.389001359)"
43,Av Hospicio-Fte Triunfo,C1,-3.6019524844699995,37.1830567241,"(446569.0373588643, 4115349.3949532965)"
44,Av Hospicio-Fte Triunfo,C2,-3.6019524844699995,37.1830567241,"(446569.0373588643, 4115349.3949532965)"
45,Av del Hospicio - Triunfo,N7,-3.60206606726,37.1831733296,"(446559.0374917932, 4115362.394999265)"
46,Av del Hospicio - Triunfo,N8,-3.60206606726,37.1831733296,"(446559.0374917932, 4115362.394999265)"
47,Av del Hospicio - Triunfo,C1,-3.60206606726,37.1831733296,"(446559.0374917932, 4115362.394999265)"
48,Av del Hospicio - Triunfo,C2,-3.60206606726,37.1831733296,"(446559.0374917932, 4115362.394999265)"
49,Av. America - C.Esp. Zaidin,NOCTURNA,-3.6001587915400006,37.1613600875,"(446713.01777123334, 4112941.40100597)"
50,Av. America - C.Esp. Zaidin,U3,-3.6001587915400006,37.1613600875,"(446713.01777123334, 4112941.40100597)"
51,Av. America - Colegio,NOCTURNA,-3.6012272748999985,37.1625986131,"(446619.01914591895, 4113079.4013371947)"
52,Av. America - Colegio,U3,-3.6012272748999985,37.1625986131,"(446619.01914591895, 4113079.4013371947)"
53,Av. Andalucia - Diputacion 1,SN3,-3.6305748862400002,37.1961315194,"(444038.05643690913, 4116816.4107183213)"
54,Av. Andalucia - Diputacion 1,SN4,-3.6305748862400002,37.1961315194,"(444038.05643690913, 4116816.4107183213)"
55,Av. Andalucia - Diputacion 2,SN4,-3.6296570035300006,37.1955054188,"(444119.055643587, 4116746.4102870766)"
56,Av. Andalucia - IES Virgen de las Nieves,SN3,-3.6174153374099998,37.190738287100004,"(445202.0482126797, 4116210.4032700197)"
