,id_web,nombre_linea,num_linea
0,18,F6 - PALACIO DE CONGRESOS-FERIAL,F6
0,19,F2 - ZAIDIN - FERIAL,F2
0,27,F5 - HAZA GRANDE - FERIAL,F5
0,28,F3 - AVDA. DILAR - FERIAL,F3
0,43,F1 - CENES DE LA VEGA - FERIAL,F1
0,44,F4 - CHANA-FERIAL,F4
0,110,110 - GRANADA - P. ASEGRA - PELIGROS,110
0,111,111 - CIRCULAR  EN SENTIDO SUR - NORTE,111
0,120,120 - GRANADA - MARACENA,120
0,121,121 - CIRCULAR EN SENTIDO NORTE - SUR,121
0,122,122 - GRANADA - ATARFE,122
0,123,123 - GRANADA - ALBOLOTE (CTRA JAEN),123
0,125,125 - GRANADA - ATARFE (CTRA CORDOBA),125
0,126,126 - GRANADA - ATARFE - CAPARACENA,126
0,155,155 - GRANADA - ARMILLA,155
0,156,156 - GRANADA - ARMILLA - CHURRIANA - GABIA,156
0,157,157 - GRANADA - ARMILLA - CHURRIANA - GABIA CHICA,157
0,158,158 - GRANADA - CAMPUS DE LA SALUD - ARMILLA,158
0,159,159 - GRANADA - PTS - ARMILLA,159
0,395,395 - QUENTAR - SALON,395
0,500,LAC - PALACIO DE CONGRESOS - CALETA,LAC
0,501,S0 - PVO. BOLA DE ORO - CRUZ DE LAGOS,S0
0,502,S1 - SERRALLO - PALACIO DE CONGRESOS,S1
0,503,S2 - VILLA ARGAZ - PALACIO DE CONGRESOS,S2
0,504,S3 - PALACIO DE DEPORTES - PALACIO DE CONGRESOS,S3
0,508,N1 - BOBADILLA - CHANA - R. MARIN OCETE,N1
0,510,N3 - CERRILLO MARACENA - R. MARIN OCETE,N3
0,511,N4 -  FEDERICO G.LORCA - E. AUTOBUSES - CALETA,N4
0,512,N5 - MODESTO CENDOYA - JOAQUINA EGUARAS - CALETA,N5
0,513,N6 - CASERIA DEL CERRO - AVDA. PULIANAS - CALETA,N6
0,514,N7 - PARQUE NUEVA GRANADA - TRIUNFO,N7
0,515,N8 - FARGUE - TRIUNFO,N8
0,516,N9 - MIRADOR S. MIGUEL - TRIUNFO,N9
0,517,C1 - ALBAICIN - CENTRO ,C1
0,518,C2 - SACROMONTE - CENTRO ,C2
0,519,C3 - ALHAMBRA - PAVANERAS,C3
0,520,C4 - CEMENTERIO - BCO DEL ABOGADO - PZA. ISABEL LA CATOLICA,C4
0,521,C5 - NEPTUNO - PZA. ISABEL LA CATOLICA,C5
0,522,C6 - ROSALEDA - TRAUMATOLOGIA,C6
0,523,U1 - CAMPUS AYNADAMAR - CAMPUS CARTUJA,U1
0,524,U2 - CAMPUS FUENTE NUEVA - CAMPUS CARTUJA,U2
0,525,U3 - P.T.SALUD - CAMPUS CARTUJA - CNO DE ALFACAR,U3
0,526,SN1 - CENES DE LA VEGA - E. DE AUTOBUSES,SN1
0,527,SN2 - PALACIO DE DEPORTES - E. DE AUTOBUSES,SN2
0,528,SN3 - REBITES - CHANA,SN3
0,529,SN4 - P.T. SALUD - CHANA,SN4
0,530,SN5 - AVDA. DE CADIZ - PARQUE NUEVA GRANADA,SN5
0,531,C7 - PUERTA REAL - CEMENTERIO,C7
0,901,901 - URBANO MARACENA,901
0,950,950 - SERVICIO ESPECIAL (FRAY LEOPOLDO),950
0,1111,111 - GRANADA - URB. LA JOYA - PELIGROS,111
0,1121,121 - GRANADA - MARACENA (CTRA DE JAEN),121
